1: F - Datetime;1: F - Value;1: Fm' - Datetime;1: Fm' - Value;1: Temp - Datetime;1: Temp - Value;1: Y (II) - Datetime;1: Y (II) - Value;1: ETR - Datetime;1: ETR - Value
2023-11-16 15:24:29.035;0;2023-11-16 15:24:29.035;0;2023-11-16 15:24:29.035;21.8;2023-11-16 15:26:48.979;0.151;2023-11-16 15:26:48.979;18.3
2023-11-16 15:24:49.027;0;2023-11-16 15:24:49.027;0;2023-11-16 15:24:49.027;21.8;2023-11-16 15:27:08.965;0.091;2023-11-16 15:27:08.965;16.2
2023-11-16 15:25:09.013;0;2023-11-16 15:25:09.013;0;2023-11-16 15:25:09.013;21.8;2023-11-16 15:27:28.955;0.051;2023-11-16 15:27:28.955;13.6
2023-11-16 15:25:29.001;0;2023-11-16 15:25:29.001;0;2023-11-16 15:25:29.001;21.8;2023-11-16 15:27:48.942;0.061;2023-11-16 15:27:48.942;21.2
2023-11-16 15:25:48.995;0;2023-11-16 15:25:48.995;0;2023-11-16 15:25:48.995;21.8;2023-11-16 15:28:08.901;0.050;2023-11-16 15:28:08.901;24.3
2023-11-16 15:26:08.979;0;2023-11-16 15:26:08.979;0;2023-11-16 15:26:08.979;21.8;2023-11-16 15:28:28.924;0.051;2023-11-16 15:28:28.924;32.4
2023-11-16 15:26:28.986;0;2023-11-16 15:26:28.986;0;2023-11-16 15:26:28.986;21.8;;;;
2023-11-16 15:26:48.979;169;2023-11-16 15:26:48.979;199;2023-11-16 15:26:48.979;21.8;;;;
2023-11-16 15:27:08.965;160;2023-11-16 15:27:08.965;176;2023-11-16 15:27:08.965;21.8;;;;
2023-11-16 15:27:28.955;148;2023-11-16 15:27:28.955;156;2023-11-16 15:27:28.955;21.8;;;;
2023-11-16 15:27:48.942;138;2023-11-16 15:27:48.942;147;2023-11-16 15:27:48.942;21.8;;;;
2023-11-16 15:28:08.901;134;2023-11-16 15:28:08.901;141;2023-11-16 15:28:08.901;21.7;;;;
2023-11-16 15:28:28.924;131;2023-11-16 15:28:28.924;138;2023-11-16 15:28:28.924;21.8;;;;
